EmployeeID,Age,Department,Experience_Years,Salary,PerformanceScore,TrainingHours,Overtime_Hours,JobSatisfaction,Education,Promotion
1,28,Sales,3,45000,3.2,20,5,7,Bachelor,0
2,35,Engineering,8,78000,4.1,35,12,8,Master,1
3,42,Marketing,15,65000,3.8,25,8,6,Bachelor,0
4,31,HR,6,52000,4.2,30,3,9,Master,1
5,26,Sales,2,42000,2.9,15,7,5,HighSchool,0
6,38,Engineering,12,85000,4.5,40,15,9,PhD,1
7,29,Marketing,4,48000,3.5,20,6,7,Bachelor,0
8,45,Finance,18,72000,4.0,28,10,8,Master,1
9,33,IT,7,68000,3.9,32,14,7,Bachelor,0
10,27,Sales,3,44000,3.1,18,4,6,Bachelor,0
11,40,Engineering,14,82000,4.3,38,16,8,Master,1
12,24,HR,1,38000,2.8,12,2,5,Bachelor,0
13,36,Marketing,9,58000,3.7,26,9,7,Master,0
14,32,Finance,8,64000,4.1,30,11,8,Bachelor,1
15,29,IT,5,62000,3.6,25,13,6,Bachelor,0
16,41,Sales,16,68000,4.2,35,7,9,Master,1
17,25,Engineering,2,48000,3.0,15,8,6,Bachelor,0
18,37,Marketing,11,61000,3.9,28,10,7,Master,0
19,34,HR,9,55000,4.0,32,5,8,Master,1
20,30,Finance,6,58000,3.4,22,9,6,Bachelor,0
21,39,IT,13,75000,4.4,36,17,9,Master,1
22,26,Sales,2,41000,2.7,14,3,4,HighSchool,0
23,43,Engineering,17,88000,4.6,42,18,9,PhD,1
24,31,Marketing,7,54000,3.6,24,8,6,Bachelor,0
25,28,HR,4,46000,3.3,20,4,7,Bachelor,0
26,35,Finance,10,67000,4.0,29,12,8,Master,1
27,27,IT,3,56000,3.2,18,10,5,Bachelor,0
28,42,Sales,15,72000,4.1,33,9,8,Master,1
29,29,Engineering,5,58000,3.5,22,11,6,Bachelor,0
30,38,Marketing,12,63000,3.8,30,11,7,Master,0
31,33,HR,8,53000,4.0,28,6,8,Master,1
32,25,Finance,2,45000,2.9,16,7,5,Bachelor,0
33,40,IT,14,78000,4.3,38,16,9,Master,1
34,32,Sales,6,52000,3.7,25,5,7,Bachelor,0
35,36,Engineering,10,76000,4.2,34,14,8,Master,1
36,28,Marketing,4,49000,3.4,21,7,6,Bachelor,0
37,44,HR,16,68000,4.5,40,8,9,Master,1
38,30,Finance,7,61000,3.8,26,10,7,Bachelor,0
39,27,IT,3,54000,3.1,19,9,5,Bachelor,0
40,41,Sales,14,69000,4.1,32,8,8,Master,1
41,34,Engineering,9,73000,4.0,31,13,7,Master,0
42,26,Marketing,3,46000,3.2,17,6,6,Bachelor,0
43,39,HR,11,59000,4.2,34,7,8,Master,1
44,31,Finance,8,63000,3.9,27,11,7,Bachelor,0
45,29,IT,5,60000,3.5,23,12,6,Bachelor,0
46,37,Sales,12,65000,4.0,30,6,8,Master,1
47,24,Engineering,1,44000,2.6,10,5,4,Bachelor,0
48,42,Marketing,16,67000,4.3,36,12,9,Master,1
49,33,HR,7,51000,3.6,25,5,7,Bachelor,0
50,35,Finance,11,70000,4.1,32,13,8,Master,1
