StudentID,Math_Score,Reading_Score,Writing_Score,Study_Hours,Attendance_Rate,Parental_Education,Family_Income,Tutoring,Extracurricular,Grade_Level,Final_Grade
1,78,82,75,15,0.92,Bachelor,55000,0,2,9,B
2,85,88,91,22,0.96,Master,78000,1,3,10,A
3,67,71,69,8,0.85,HighSchool,35000,0,1,9,C
4,92,89,94,28,0.98,PhD,95000,1,4,11,A
5,73,76,72,12,0.88,Bachelor,48000,0,2,9,B
6,88,91,85,25,0.95,Master,82000,1,3,10,A
7,62,68,65,6,0.82,HighSchool,32000,0,0,9,C
8,95,93,97,30,0.99,PhD,105000,1,5,12,A
9,75,79,77,16,0.90,Bachelor,58000,0,2,10,B
10,81,84,88,20,0.94,Master,72000,1,3,11,A
11,69,73,71,10,0.86,HighSchool,38000,0,1,9,C
12,90,87,92,26,0.97,PhD,88000,1,4,11,A
13,76,80,74,14,0.89,Bachelor,52000,0,2,10,B
14,84,86,89,23,0.95,Master,75000,1,3,11,A
15,65,70,68,7,0.83,HighSchool,33000,0,1,9,C
16,93,90,95,29,0.98,PhD,98000,1,4,12,A
17,77,81,78,17,0.91,Bachelor,60000,0,2,10,B
18,86,88,90,24,0.96,Master,80000,1,3,11,A
19,64,67,66,5,0.81,HighSchool,30000,0,0,9,D
20,91,89,93,27,0.97,PhD,92000,1,4,11,A
21,74,78,76,13,0.87,Bachelor,50000,0,2,9,B
22,83,85,87,21,0.94,Master,70000,1,3,10,A
23,68,72,70,9,0.84,HighSchool,36000,0,1,9,C
24,89,86,91,25,0.96,PhD,85000,1,4,11,A
25,72,75,73,11,0.88,Bachelor,46000,0,1,9,B
26,87,89,88,24,0.95,Master,77000,1,3,10,A
27,61,65,63,4,0.80,HighSchool,28000,0,0,9,D
28,94,92,96,28,0.98,PhD,100000,1,5,12,A
29,79,82,80,18,0.92,Bachelor,62000,0,2,10,B
30,85,87,89,22,0.94,Master,74000,1,3,11,A
31,66,69,67,8,0.83,HighSchool,34000,0,1,9,C
32,92,88,94,27,0.97,PhD,90000,1,4,11,A
33,75,77,74,15,0.89,Bachelor,54000,0,2,10,B
34,84,86,88,23,0.95,Master,76000,1,3,11,A
35,63,66,64,6,0.82,HighSchool,31000,0,0,9,C
36,90,89,92,26,0.96,PhD,87000,1,4,11,A
37,76,79,77,16,0.90,Bachelor,56000,0,2,10,B
38,86,88,90,24,0.95,Master,79000,1,3,11,A
39,67,70,68,9,0.84,HighSchool,37000,0,1,9,C
40,93,91,95,29,0.98,PhD,96000,1,4,12,A
41,73,76,74,12,0.87,Bachelor,49000,0,2,9,B
42,82,84,86,20,0.93,Master,71000,1,3,10,A
43,65,68,66,7,0.83,HighSchool,33000,0,1,9,C
44,91,88,93,27,0.97,PhD,89000,1,4,11,A
45,77,80,78,17,0.91,Bachelor,59000,0,2,10,B
46,85,87,89,23,0.95,Master,75000,1,3,11,A
47,62,65,63,5,0.81,HighSchool,29000,0,0,9,D
48,94,90,96,28,0.98,PhD,99000,1,5,12,A
49,78,81,79,18,0.92,Bachelor,61000,0,2,10,B
50,87,89,91,25,0.96,Master,78000,1,3,11,A
